Jour,Heure de début,Clics
Dimanche,00 h,40
Dimanche,01 h,21
Dimanche,02 h,21
Dimanche,03 h,15
Dimanche,04 h,15
Dimanche,05 h,18
Dimanche,06 h,103
Dimanche,07 h,230
Dimanche,08 h,390
Dimanche,09 h,528
Dimanche,10 h,610
Dimanche,11 h,619
Dimanche,12 h,566
Dimanche,13 h,518
Dimanche,14 h,617
Dimanche,15 h,603
Dimanche,16 h,676
Dimanche,17 h,689
Dimanche,18 h,644
Dimanche,19 h,565
Dimanche,20 h,491
Dimanche,21 h,460
Dimanche,22 h,289
Dimanche,23 h,116
Lundi,00 h,38
Lundi,01 h,11
Lundi,02 h,13
Lundi,03 h,18
Lundi,04 h,16
Lundi,05 h,25
Lundi,06 h,126
Lundi,07 h,262
Lundi,08 h,449
Lundi,09 h,573
Lundi,10 h,617
Lundi,11 h,749
Lundi,12 h,606
Lundi,13 h,546
Lundi,14 h,685
Lundi,15 h,653
Lundi,16 h,705
Lundi,17 h,678
Lundi,18 h,613
Lundi,19 h,512
Lundi,20 h,420
Lundi,21 h,379
Lundi,22 h,253
Lundi,23 h,137
Mardi,00 h,38
Mardi,01 h,17
Mardi,02 h,15
Mardi,03 h,12
Mardi,04 h,14
Mardi,05 h,27
Mardi,06 h,163
Mardi,07 h,302
Mardi,08 h,514
Mardi,09 h,583
Mardi,10 h,640
Mardi,11 h,672
Mardi,12 h,561
Mardi,13 h,594
Mardi,14 h,611
Mardi,15 h,709
Mardi,16 h,669
Mardi,17 h,651
Mardi,18 h,679
Mardi,19 h,449
Mardi,20 h,408
Mardi,21 h,397
Mardi,22 h,245
Mardi,23 h,134
Mercredi,00 h,24
Mercredi,01 h,19
Mercredi,02 h,16
Mercredi,03 h,14
Mercredi,04 h,21
Mercredi,05 h,20
Mercredi,06 h,159
Mercredi,07 h,284
Mercredi,08 h,455
Mercredi,09 h,614
Mercredi,10 h,706
Mercredi,11 h,740
Mercredi,12 h,509
Mercredi,13 h,584
Mercredi,14 h,688
Mercredi,15 h,677
Mercredi,16 h,685
Mercredi,17 h,656
Mercredi,18 h,569
Mercredi,19 h,431
Mercredi,20 h,409
Mercredi,21 h,382
Mercredi,22 h,253
Mercredi,23 h,123
Jeudi,00 h,39
Jeudi,01 h,15
Jeudi,02 h,12
Jeudi,03 h,11
Jeudi,04 h,23
Jeudi,05 h,22
Jeudi,06 h,147
Jeudi,07 h,356
Jeudi,08 h,551
Jeudi,09 h,595
Jeudi,10 h,617
Jeudi,11 h,658
Jeudi,12 h,545
Jeudi,13 h,583
Jeudi,14 h,610
Jeudi,15 h,594
Jeudi,16 h,622
Jeudi,17 h,666
Jeudi,18 h,651
Jeudi,19 h,435
Jeudi,20 h,392
Jeudi,21 h,381
Jeudi,22 h,244
Jeudi,23 h,125
Vendredi,00 h,25
Vendredi,01 h,12
Vendredi,02 h,10
Vendredi,03 h,13
Vendredi,04 h,12
Vendredi,05 h,23
Vendredi,06 h,158
Vendredi,07 h,268
Vendredi,08 h,463
Vendredi,09 h,546
Vendredi,10 h,637
Vendredi,11 h,576
Vendredi,12 h,555
Vendredi,13 h,458
Vendredi,14 h,591
Vendredi,15 h,549
Vendredi,16 h,575
Vendredi,17 h,546
Vendredi,18 h,753
Vendredi,19 h,344
Vendredi,20 h,259
Vendredi,21 h,293
Vendredi,22 h,198
Vendredi,23 h,91
Samedi,00 h,32
Samedi,01 h,24
Samedi,02 h,9
Samedi,03 h,9
Samedi,04 h,11
Samedi,05 h,37
Samedi,06 h,97
Samedi,07 h,265
Samedi,08 h,427
Samedi,09 h,461
Samedi,10 h,559
Samedi,11 h,575
Samedi,12 h,530
Samedi,13 h,528
Samedi,14 h,524
Samedi,15 h,484
Samedi,16 h,558
Samedi,17 h,593
Samedi,18 h,613
Samedi,19 h,440
Samedi,20 h,337
Samedi,21 h,296
Samedi,22 h,286
Samedi,23 h,162
