Mot clé pour le Réseau de Recherche,Type de correspondance,État du critère,État de la campagne,État du groupe d'annonces,Coût,Clics,CTR
locinox,Requête large,Activé,Activé,Activé,"1 233,36 €",1 036,"6,84 %"
locinox serrure,Requête large,Activé,Activé,Activé,"472,71 €",435,"7,16 %"
autoportant portail,Expression exacte,Activé,Activé,Activé,"225,10 €",193,"13,84 %"
deco fer forgé,Requête large,Activé,Activé,Activé,"201,33 €",193,"3,62 %"
pièce détachée portail,Requête large,Activé,Activé,Activé,"194,19 €",373,"6,66 %"
volutes en fer forgé,Expression exacte,Activé,Activé,Activé,"152,19 €",320,"6,58 %"
ferronnerie pour portail,Requête large,Activé,Activé,Activé,"141,94 €",204,"5,69 %"
locinox portail,Requête large,Activé,Activé,Activé,"135,50 €",137,"9,91 %"
portail ferronnerie,Requête large,Activé,Activé,Activé,"124,46 €",102,"6,19 %"
locinox serrure portail,Requête large,Activé,Activé,Activé,"113,07 €",121,"6,88 %"
Quincaillerie portail,Requête large,Activé,Activé,Activé,"100,04 €",247,"8,37 %"
volutes en fer forgé,Requête large,Activé,Activé,Activé,"96,61 €",169,"3,29 %"
deco fer,Requête large,Activé,Activé,Activé,"90,79 €",144,"3,07 %"
ferme porte locinox,Requête large,Activé,Activé,Activé,"87,85 €",71,"4,17 %"
fer forge deco,Requête large,Activé,Activé,Activé,"78,97 €",101,"2,06 %"
serrure portail,Requête large,Activé,Activé,Activé,"75,91 €",89,"4,62 %"
locinox gache,Requête large,Activé,Activé,Activé,"69,22 €",70,"5,32 %"
Quincaillerie portail coulissant,Requête large,Activé,Activé,Activé,"46,95 €",127,"8,15 %"
accessoire pour portail,Expression exacte,Activé,Activé,Activé,"46,46 €",52,"7,57 %"
serrure locinox portillon,Requête large,Activé,Activé,Activé,"46,08 €",42,"8,55 %"
gache électrique locinox,Requête large,Activé,Activé,Activé,"45,58 €",58,"5,51 %"
Charniere portail,Expression exacte,Activé,Activé,Activé,"36,09 €",67,"5,14 %"
rail portail coulissant,Requête large,Activé,Activé,Activé,"36,03 €",47,"5,35 %"
pièce détachée portail électrique,Expression exacte,Activé,Activé,Activé,"34,34 €",54,"4,29 %"
rail de guidage coulissant,Requête large,Activé,Activé,Activé,"33,85 €",30,"3,44 %"
portail coulissant accessoire,Expression exacte,Activé,Activé,Activé,"33,27 €",64,"7,79 %"
rail de guidage portail coulissant,Expression exacte,Activé,Activé,Activé,"32,32 €",57,"8,73 %"
Quincaillerie portail battant,Requête large,Activé,Activé,Activé,"28,08 €",77,"6,96 %"
pièce détachée portail électrique,Requête large,Activé,Activé,Activé,"28,03 €",24,"2,45 %"
rail pour portail,Expression exacte,Activé,Activé,Activé,"18,83 €",27,"6,92 %"
volutes pour portail,Requête large,Activé,Activé,Activé,"15,80 €",17,"3,04 %"
portail coulissant accessoire,Requête large,Activé,Activé,Activé,"13,95 €",28,"6,26 %"
rail de portail coulissant,Requête large,Activé,Activé,Activé,"13,75 €",18,"5,90 %"
décorations en fer forgé,Requête large,Activé,Activé,Activé,"13,43 €",15,"0,79 %"
roue de guidage portail coulissant,Requête large,Activé,Activé,Activé,"12,56 €",34,"6,56 %"
serrure portail exterieur,Expression exacte,Activé,Activé,Activé,"11,96 €",32,"6,53 %"
accessoire pour portail coulissant,Expression exacte,Activé,Activé,Activé,"11,52 €",21,"5,15 %"
serrure portail coulissant,Requête large,Activé,Activé,Activé,"9,68 €",21,"5,05 %"
ferronnerie pour portail,Expression exacte,Activé,Activé,Activé,"8,96 €",26,"8,25 %"
Charniere portail,Requête large,Activé,Activé,Activé,"6,66 €",10,"2,51 %"
rail portail coulissante,Requête large,Activé,Activé,Activé,"6,58 €",7,"8,54 %"
accessoires portail battant,Requête large,Activé,Activé,Activé,"5,17 €",12,"8,76 %"
autoportant portail,Requête large,Activé,Activé,Activé,"3,52 €",4,"4,76 %"
rail portail coulissant 3m,Requête large,Activé,Activé,Activé,"3,07 €",7,"5,30 %"
deco pour portail fer forgé,Requête large,Activé,Activé,Activé,"3,02 €",11,"2,57 %"
rail guidage portail coulissant,Requête large,Activé,Activé,Activé,"2,66 €",5,"3,60 %"
guide de portail coulissant,Requête large,Activé,Activé,Activé,"1,84 €",5,"4,31 %"
accessoire portail battant,Expression exacte,Activé,Activé,Activé,"1,82 €",9,"7,76 %"
rail de guidage portail coulissant,Requête large,Activé,Activé,Activé,"1,77 €",2,"2,94 %"
guide portail coulissante,Requête large,Activé,Activé,Activé,"0,68 €",2,"4,44 %"
